bus name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
HRTC - 401271,Ordinary 3+2 Non AC Seater,8:45,11:30,02h 45m,INR 218,37 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 401269,Ordinary 3+2 Non AC Seater,7:40,10:30,02h 50m,INR 218,36 Seats available,"4.4
5",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 1567,Ordinary 3+2 Non AC Seater,9:00,11:50,02h 50m,INR 218,39 Seats available,"4.7
6",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 1107,Ordinary 3+2 Non AC Seater,20:30,23:20,02h 50m,INR 218,36 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 663,Ordinary 3+2 Non AC Seater,6:35,9:30,02h 55m,INR 218,24 Seats available,"3.8
14",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 401270,Ordinary 3+2 Non AC Seater,18:10,21:05,02h 55m,INR 218,33 Seats available,"4.0
6",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 887,Ordinary 3+2 Non AC Seater,8:00,11:00,03h 00m,INR 218,37 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 1467,Ordinary 3+2 Non AC Seater,12:20,15:20,03h 00m,INR 218,31 Seats available,"4.2
19",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 763,Ordinary 3+2 Non AC Seater,19:40,22:40,03h 00m,INR 223,37 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 667,Ordinary 3+2 Non AC Seater,5:45,8:50,03h 05m,INR 218,33 Seats available,"3.0
7",https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 700,Himsuta AC Seater Volvo/Scania 2+2,20:00,23:30,03h 30m,INR 459,6 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),23:30,3:10,03h 40m,780,28 Seats available,4.5,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 616,A/C Executive (2+3),6:00,9:50,03h 50m,INR 340,31 Seats available,"4.3
87",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
HRTC - 78,Himsuta AC Seater Volvo/Scania 2+2,21:15,1:05,03h 50m,INR 464,32 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 750,A/C Executive (2+3),20:30,0:25,03h 55m,INR 270,44 Seats available,3.9,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh,Ghumarwin to Chandigarh
HRTC - 401269,Ordinary 3+2 Non AC Seater,6:30,10:30,04h 00m,INR 310,36 Seats available,"4.6
8",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Hamirpur (Himachal Pradesh) to Chandigarh
