Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
SBSTC-DURGAPUR - KOLKATA - 05:00 (DGP DEPOT) - 122,Non AC Seater (2+3),05:00,08:30,03h 30m,INR 150,49 Seats available,"4.2
155",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-DURGAPUR - KARUNAMOYEE - 05:15 (DGP DEPOT) - 383,Non AC Seater (2+3),05:15,09:15,04h 00m,INR 155,24 Seats available,"4.2
283",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-DURGAPUR - KOLKATA - 05:30 (DGP DEPOT) - 123,Non AC Seater (2+3),05:30,09:00,03h 30m,INR 150,48 Seats available,"3.8
102",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-DURGAPUR - KOLKATA - L/S - 06:00 (DGP DEPOT) - 125,Non AC Seater (2+3),06:00,09:30,03h 30m,INR 150,45 Seats available,"3.0
98",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-DURGAPUR - KARUNAMOYEE - 06:15 (DGP DEPOT) - 136,Non AC Seater (2+3),06:15,10:15,04h 00m,INR 155,15 Seats available,"3.9
232",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-DURGAPUR - KOLKATA - 06:30 (DGP DEPOT) - 126,Non AC Seater (2+3),06:30,10:00,03h 30m,INR 150,49 Seats available,"3.9
78",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-ASANSOL - KOLKATA - 05:35 (ASANSOL DEPOT) - 140,Non AC Seater (2+3),06:45,10:15,03h 30m,INR 150,52 Seats available,"3.4
35",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-DURGAPUR - KARUNAMOYEE - 06:50 (DGP DEPOT) - 137,Non AC Seater (2+3),06:50,10:50,04h 00m,INR 155,35 Seats available,"3.3
163",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-JAMURIA - KOLKATA - VIA - DURGAPUR - 06:00 (HWH DE - 334,Non AC Seater (2+3),07:00,10:30,03h 30m,INR 150,51 Seats available,"3.0
13",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-ASANSOL - KARUNAMOYEE - 06:00 (ASN DEPOT) - 150,Non AC Seater (2+3),07:10,11:10,04h 00m,INR 155,37 Seats available,"3.6
107",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),06:10,09:20,03h 10m,INR 486,35 Seats available,"4.5
179",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:10,09:20,03h 10m,INR 486,35 Seats available,"4.2
134",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Greenline,Volvo A/C Seater (2+2),06:30,09:45,03h 15m,INR 486,18 Seats available,"4.2
239",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:40,10:00,03h 20m,INR 486,21 Seats available,"4.4
332",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
Express Line (Karunamoyee),Volvo 9600 A/C Semi Sleeper (2+2),06:40,10:45,04h 05m,INR 486,39 Seats available,4.5,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur to Calcutta
SBSTC-KOLKATA - ASANSOL - L/S - 06:00 (HOWRAH DEPOT) - 264,Non AC Seater (2+3),06:00,08:00,02h 00m,INR 95,52 Seats available,"3.0
16",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SBSTC-KOLKATA - LABPUR - VIA KIRNAHAR - 07:25 (HWH DEPOT - 1118,Non AC Seater (2+3),07:25,09:25,02h 00m,INR 95,41 Seats available,"3.4
15",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SBSTC-KARUNAMOYEE - BURDWAN - 07:45 (BWN DEPOT) - 456,,07:45,09:45,02h 00m,INR 100,12 Seats available,"4.2
131",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SBSTC-HALDIA - CHITTARANJAN - VIA - KOLKATA - 05:00 - 278,Non AC Seater (2+3),05:00,08:45,03h 45m,INR 110,26 Seats available,"4.1
76",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
SBSTC-HALDIA - KOLKATA - ALL STOP - 05:30 (HALDIA DEPOT) - 626,Non AC Seater (2+3),05:30,08:30,03h 00m,INR 110,9 Seats available,"3.8
155",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
SBSTC-HALDIA - KOLKATA - 06:20 (Haldia Depot) - 1028,,06:20,09:20,03h 00m,INR 110,42 Seats available,"3.0
15",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
,,,,,,,,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
,,,,,,,,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
,,,,,,,,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
,,,,,,,,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
,,,,,,,,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
,,,,,,,,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
,,,,,,,,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Calcutta
SBSTC-KOLKATA - HALDIA - 06:30 (BEL DEPOT) - 557,Non AC Seater (2+3),06:30,09:30,03h 00m,INR 110,47 Seats available,"4.1
165",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
SBSTC-KOLKATA - HALDIA - NON STOP - 07:15 (Haldia Depot) - 606,Non AC Seater (2+3),07:15,10:15,03h 00m,INR 135,43 Seats available,"4.3
235",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
SBSTC-BARRACKPORE - HALDIA - VIA - BELGHARIA - 06:40 - 902,,07:15,10:15,03h 00m,INR 112,34 Seats available,"4.4
66",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
