Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
VSR Tours and Travels,A/C Sleeper (2+1),00:14,06:00,05h 46m,INR 649,28 Seats available,4.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),00:40,06:30,05h 50m,INR 500,33 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),00:40,05:30,04h 50m,INR 700,23 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),00:40,05:00,04h 20m,INR 500,33 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Rama Travels,A/C Seater / Sleeper (2+1),01:30,06:45,05h 15m,INR 666,32 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,A/C Semi Sleeper (2+2),23:45,05:20,05h 35m,700,26 Seats available,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
DMR Travels,A/C Sleeper (2+1),02:00,05:30,03h 30m,INR 850,30 Seats available,3.5,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,A/C Semi Sleeper (2+2),23:50,05:30,05h 40m,INR 600,28 Seats available,3.8,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 550,31 Seats available,"3.8
5",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Mahadevv travels,Non A/C Seater / Sleeper (2+1),02:20,05:30,03h 10m,474,31 Seats available,3.2,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Orange Tours And Travels,A/C Sleeper (2+1),18:00,21:10,03h 10m,INR 700,36 Seats available,"3.6
15",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),18:15,21:40,03h 25m,INR 700,30 Seats available,"2.4
8",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
